Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABplaapap	0	ABplaapapa	ABplaapapp	0.911058619	-0.254710128	-0.057624889
ABplaappa	0	ABplaappaa	ABplaappap	0.960795995	-0.075520329	0.100306801
ABplapaaa	0	ABplapaaaa	ABplapaaap	0.930042658	0.003802176	-0.049539493
ABplapaap	0	ABplapaapa	ABplapaapp	0.852694242	0.127528684	0.426189258
ABplappaa	0	ABplappaaa	ABplappaap	0.841621028	-0.138115626	0.346925287
ABplappap	0	ABplappapa	ABplappapp	0.746639313	-0.157470822	0.551558116
ABplapppa	0	ABplapppaa	ABplapppap	0.676797006	-0.513166415	0.447737868
ABplapppp	0	ABplappppa	ABplappppp	0.213974509	-0.801549214	0.403332958
ABplpaaaa	0	ABplpaaaaa	ABplpaaaap	0.9284826	0.243664163	0.124552382
ABplpaaap	0	ABplpaaapa	ABplpaaapp	0.864370933	0.203328416	-0.334361796
ABplpaapa	0	ABplpaapaa	ABplpaapap	0.89346916	0.167837883	-0.254999499
ABplpaapp	0	ABplpaappa	ABplpaappp	0.91061916	0.043776785	-0.102171348
ABplpapaa	0	ABplpapaaa	ABplpapaap	0.908076853	0.208160073	-0.137195012
ABplpapap	0	ABplpapapa	ABplpapapp	0.938499162	-0.190277475	-0.100802726
ABplpappp	0	ABplpapppa	ABplpapppp	0.96246466	-0.141171657	0.06941878
ABplppaap	0	ABplppaapa	ABplppaapp	0.957209905	0.054011283	0.145817577
ABplppapa	0	ABplppapaa	ABplppapap	0.91025859	-0.091340062	0.317671038
ABplppapp	0	ABplppappa	ABplppappp	0.828377628	-0.348297235	0.312554997
ABplpppaa	0	ABplpppaaa	ABplpppaap	0.82243999	-0.358119248	0.084158291
ABplpppap	0	ABplpppapa	ABplpppapp	0.564368392	-0.746647054	0.098532289
ABplppppa	0	ABplppppaa	ABplppppap	0.878666716	-0.36184195	0.078813173
ABplppppp	0	ABplpppppa	ABplpppppp	0.843575847	-0.264229202	0.100868501
ABpraaaaa	0	ABpraaaaaa	ABpraaaaap	0.840904696	-0.437577665	-0.118602098
ABpraaaap	0	ABpraaaapa	ABpraaaapp	0.773871548	-0.239618665	-0.502079396
ABpraaapa	0	ABpraaapaa	ABpraaapap	0.743384299	-0.343362934	-0.433839526
ABpraapaa	0	ABpraapaaa	ABpraapaap	0.924017136	-0.185015215	-0.103003129
ABpraapap	0	ABpraapapa	ABpraapapp	0.921342965	0.105769797	0.023279816
ABpraappa	0	ABpraappaa	ABpraappap	0.968480487	0.051206023	0.077522564
ABpraappp	0	ABpraapppa	ABpraapppp	0.936408108	0.14832611	0.1574161
ABprapaaa	0	ABprapaaaa	ABprapaaap	0.89824624	0.110764814	0.059362184
ABprapaap	0	ABprapaapa	ABprapaapp	0.879191862	0.098243981	0.368359687
ABprapapa	0	ABprapapaa	ABprapapap	0.711919731	0.229196153	0.600102021
ABprapapp	0	ABprapappa	ABprapappp	0.254821878	0.419624461	0.814552726
